navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 20:12:02:491,2025-04-25 20:12:02,72.707036,31.785866,472466.15625,1745611922492,2025-04-25 20:12:02,-46.14246,234.61854,225.58536,328.730498391787,1
25-04-2025 20:12:22:491,2025-04-25 20:12:22,71.551689,29.975351,471731.3125,1745611942492,2025-04-25 20:12:22,-97.16772,84.47244,278.56374,306.879318580349,1
25-04-2025 20:12:32:491,2025-04-25 20:12:32,70.968275,29.145988,471356.4375,1745611952492,2025-04-25 20:12:32,-126.46452,11.47458,272.2161,300.37733919891,1
25-04-2025 20:12:52:491,2025-04-25 20:12:52,69.787711,27.613879,470589.90625,1745611972492,2025-04-25 20:12:52,-199.95066,-92.7732,204.58932,300.738961444536,1
25-04-2025 20:13:12:491,2025-04-25 20:13:12,68.601498,26.241512,469809.0625,1745611992492,2025-04-25 20:13:12,-274.6575,-115.47822,85.69314,310.024637478504,1
25-04-2025 20:13:22:491,2025-04-25 20:13:22,68.005373,25.605732,469412.6875,1745612002491,2025-04-25 20:13:22,-301.5129,-87.40212,16.35738,314.351273780414,0
25-04-2025 20:13:42:491,2025-04-25 20:13:42,66.802003,24.416828,468604.6875,1745612022491,2025-04-25 20:13:42,-314.69646,33.69132,-116.21064,337.155572145981,0
25-04-2025 20:14:02:491,2025-04-25 20:14:02,65.59422,23.333818,467783.65625,1745612042490,2025-04-25 20:14:02,-232.42128,193.11474,-217.04046,372.047732796637,1
25-04-2025 20:14:12:491,2025-04-25 20:14:12,64.982645,22.822097,467364.28125,1745612052490,2025-04-25 20:14:12,-152.83164,265.38018,-255.1263,398.589486908037,1
25-04-2025 20:14:22:491,2025-04-25 20:14:22,64.375626,22.336098,466945.71875,1745612062490,2025-04-25 20:14:22,-53.7108,316.89372,-281.00514,426.931339349196,1
25-04-2025 20:14:42:491,2025-04-25 20:14:42,63.150133,21.415039,466094.21875,1745612082490,2025-04-25 20:14:42,168.4566,332.0304,-307.86054,483.114815232168,1
25-04-2025 20:15:02:491,2025-04-25 20:15:02,61.925637,20.565785,465235.4375,1745612102490,2025-04-25 20:15:02,362.79204,239.50134,-297.11838,526.553214673485,1
25-04-2025 20:15:12:491,2025-04-25 20:15:12,61.31051,20.16294,464801.3125,1745612112489,2025-04-25 20:15:12,429.93054,171.87456,-276.12234,539.096169757271,2
