navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 12:24:22:521,2025-04-25 12:24:22,59.522298,136.898725,463370.375,1745583862516,2025-04-25 12:24:22,-330.32142,67.87092,-184.56984,384.427793129072,5
25-04-2025 12:24:42:521,2025-04-25 12:24:42,58.286416,136.204436,462487.0625,1745583882516,2025-04-25 12:24:42,-315.18474,39.0624,-208.98384,380.186187023902,5
25-04-2025 12:24:52:521,2025-04-25 12:24:52,57.660109,135.869224,462037.9375,1745583892516,2025-04-25 12:24:52,-314.69646,53.95494,-226.80606,391.645230201593,5
25-04-2025 12:25:12:521,2025-04-25 12:25:12,56.418117,135.234426,461145.0625,1745583912516,2025-04-25 12:25:12,-298.58322,41.01552,-223.3881,375.148577723612,5
25-04-2025 12:25:32:521,2025-04-25 12:25:32,55.175156,134.635227,460249.5625,1745583932516,2025-04-25 12:25:32,-275.38992,78.36894,-204.34518,351.764482834129,5
25-04-2025 12:25:42:521,2025-04-25 12:25:42,54.551365,134.34687,459799.8125,1745583942516,2025-04-25 12:25:42,-313.23162,51.75768,-200.92722,375.718848267871,5
25-04-2025 12:26:02:521,2025-04-25 12:26:02,53.294491,133.788762,458893.8125,1745583962525,2025-04-25 12:26:02,-302.97774,44.18934,-263.6712,404.067705235872,4
25-04-2025 12:26:12:521,2025-04-25 12:26:12,52.668839,133.521551,458443.25,1745583972516,2025-04-25 12:26:12,-311.03436,47.85144,-253.17318,403.892055482645,5
25-04-2025 12:26:22:521,2025-04-25 12:26:22,52.044556,133.261458,457994.15625,1745583982525,2025-04-25 12:26:22,-289.3059,79.58964,-222.41154,373.496061151,4
25-04-2025 12:26:32:521,2025-04-25 12:26:32,51.41972,133.007334,457545.3125,1745583992525,2025-04-25 12:26:32,-284.91138,69.82404,-197.02098,353.365473094906,4
25-04-2025 12:26:52:521,2025-04-25 12:26:52,50.160254,132.51276,456643.375,1745584012525,2025-04-25 12:26:52,-285.88794,72.50958,-217.77288,366.625941107165,4
25-04-2025 12:27:02:521,2025-04-25 12:27:02,49.534506,132.275233,456196.96875,1745584022524,2025-04-25 12:27:02,-275.63406,56.88462,-262.20636,384.658511213619,3
25-04-2025 12:27:12:521,2025-04-25 12:27:12,48.899472,132.039387,455745.3125,1745584032524,2025-04-25 12:27:12,-267.82158,70.8006,-214.8432,350.569143337368,3
25-04-2025 12:27:32:521,2025-04-25 12:27:32,47.644927,131.587925,454857.90625,1745584052524,2025-04-25 12:27:32,-249.51108,54.44322,-254.88216,360.811250840381,3
